年份,月份,行政區,遷入人數,遷出人數,住址變更人數_入數量,住址變更人數_出數量,出生人數,死亡人數
112,2,  信義區 ,1099,871,278,278,94,183
112,2,  大安區 ,2085,1262,441,441,105,236
112,2,  中山區 ,1403,1177,465,465,80,155
112,2,  中正區 ,1079,839,257,257,61,113
112,2,  大同區 ,727,594,290,290,45,96
112,2,  萬華區 ,877,793,373,373,75,175
112,2,  文山區 ,1257,1024,586,586,101,194
112,2,  南港區 ,542,638,219,219,47,76
112,2,  內湖區 ,1396,1070,627,627,128,163
112,2,  士林區 ,1237,993,507,507,108,218
112,2,  北投區 ,1137,945,588,588,101,198
112,3,  總計 ,18058,12602,5887,5887,1275,2051
112,3,  松山區 ,1625,1059,448,448,97,155
112,3,  信義區 ,1570,1046,394,394,97,191
112,3,  大安區 ,2701,1488,513,513,129,261
112,3,  中山區 ,1788,1212,538,538,108,188
112,3,  中正區 ,1430,973,291,291,92,108
112,3,  大同區 ,914,709,383,383,63,107
112,3,  萬華區 ,1111,921,459,459,78,196
112,3,  文山區 ,1557,1168,704,704,140,191
112,3,  南港區 ,715,655,235,235,67,91
112,3,  內湖區 ,1665,1204,716,716,160,157
112,3,  士林區 ,1636,1216,555,555,128,206
112,3,  北投區 ,1346,951,651,651,116,200
112,4,  總計 ,12731,8598,3802,3802,1083,1541
112,4,  松山區 ,1092,705,259,259,78,130
112,4,  信義區 ,1255,715,299,299,82,122
112,4,  大安區 ,1998,966,368,368,96,188
112,4,  中山區 ,1272,807,408,408,100,138
112,4,  中正區 ,943,631,171,171,60,91
112,4,  大同區 ,583,443,221,221,67,76
112,4,  萬華區 ,750,642,313,313,86,133
112,4,  文山區 ,1162,792,423,423,115,132
112,4,  南港區 ,510,430,120,120,46,76
112,4,  內湖區 ,1175,836,463,463,143,132
112,4,  士林區 ,1111,819,364,364,119,176
112,4,  北投區 ,880,812,393,393,91,147
112,5,  總計 ,15928,12109,5988,5988,1421,1740
112,5,  松山區 ,1428,1006,540,540,103,134
112,5,  信義區 ,1296,1043,383,383,152,128
112,5,  大安區 ,2431,1493,594,594,150,209
112,5,  中山區 ,1638,1202,487,487,117,136
112,5,  中正區 ,1213,902,287,287,82,98
112,5,  大同區 ,716,581,347,347,63,85
112,5,  萬華區 ,972,901,424,424,105,150
112,5,  文山區 ,1418,1136,689,689,141,175
112,5,  南港區 ,688,655,198,198,52,85
112,5,  內湖區 ,1479,1163,769,769,165,148
112,5,  士林區 ,1370,1126,580,580,151,213
112,5,  北投區 ,1279,901,690,690,140,179
112,6,  總計 ,14193,11132,5628,5628,1375,1737
112,6,  松山區 ,1227,955,428,428,102,131
112,6,  信義區 ,1192,928,325,325,104,144
112,6,  大安區 ,2134,1416,579,579,149,204
112,6,  中山區 ,1344,983,419,419,142,156
112,6,  中正區 ,1134,928,293,293,69,99
112,6,  大同區 ,699,587,249,249,79,95
112,6,  萬華區 ,904,845,458,458,103,157
112,6,  文山區 ,1325,929,685,685,134,154
112,6,  南港區 ,630,577,189,189,67,71
112,6,  內湖區 ,1248,1034,753,753,166,154
112,6,  士林區 ,1233,970,537,537,139,194
112,6,  北投區 ,1123,980,713,713,121,178
112,7,  總計 ,14838,11982,5338,5338,1386,1786
112,7,  松山區 ,1306,1018,430,430,103,128
112,7,  信義區 ,1300,945,332,332,103,167
112,7,  大安區 ,1966,1619,547,547,126,189
112,7,  中山區 ,1577,1097,459,459,135,149
112,7,  中正區 ,1070,887,257,257,74,96
112,7,  大同區 ,765,714,294,294,82,101
112,7,  萬華區 ,1029,771,346,346,96,174
112,7,  文山區 ,1242,1063,674,674,136,179
112,7,  南港區 ,635,609,170,170,68,84
112,7,  內湖區 ,1318,1111,710,710,170,166
112,7,  士林區 ,1414,1065,482,482,144,188
112,7,  北投區 ,1216,1083,637,637,149,165
112,8,  總計 ,13266,13461,6345,6345,1490,1650
112,8,  松山區 ,1118,1166,512,512,99,131
112,8,  信義區 ,1185,1114,443,443,127,143
112,8,  大安區 ,1807,1839,614,614,164,209
112,8,  中山區 ,1420,1329,507,507,154,164
112,8,  中正區 ,1006,1158,359,359,94,78
112,8,  大同區 ,682,617,328,328,80,97
112,8,  萬華區 ,985,812,457,457,112,156
112,8,  文山區 ,1133,1131,725,725,140,161
112,8,  南港區 ,599,623,223,223,83,69
112,8,  內湖區 ,1253,1375,836,836,173,136
112,8,  士林區 ,1080,1251,606,606,134,178
112,8,  北投區 ,998,1046,735,735,130,128
112,9,  總計 ,14023,14427,8067,8067,1305,1438
112,9,  松山區 ,1179,1381,637,637,75,118
112,9,  信義區 ,1129,1137,467,467,120,131
